Wall time,Step,Value
1681575158.4810355,0,0.7035712003707886
1681575172.5904243,1,0.4689706265926361
1681575185.9570591,2,0.29393887519836426
1681575199.3752413,3,0.20860406756401062
1681575212.7552972,4,0.16618184745311737
1681575225.3625138,5,0.14028334617614746
1681575237.1658418,6,0.12254337966442108
1681575252.5715072,7,0.12608842551708221
1681575263.640474,8,0.11248160898685455
1681575281.4886713,9,0.12452056258916855
1681575291.9382913,10,0.10299765318632126
1681575305.0037498,11,0.10464250296354294
1681575317.398208,12,0.09923038631677628
1681575332.9257555,13,0.10650019347667694
1681575346.9045742,14,0.10585012286901474
1681575355.783425,15,0.08246280252933502
1681575368.2416599,16,0.08905134350061417
1681575382.0680676,17,0.10087911784648895
1681575394.588821,18,0.09449046850204468
1681575402.0049655,19,0.07001404464244843
1681575413.1692982,20,0.08233391493558884
1681575426.659362,21,0.09177196025848389
1681575441.474992,22,0.10118532925844193
1681575453.3230617,23,0.08769818395376205
1681575465.9199667,24,0.09324116259813309
1681575479.9765928,25,0.09209296852350235
1681575496.2696419,26,0.10886505991220474
1681575510.3644652,27,0.10106002539396286
1681575522.982364,28,0.09373660385608673
1681575536.3405502,29,0.09185920655727386
1681575554.8718176,30,0.11346971243619919
1681575568.2069077,31,0.10206480324268341
1681575580.8382976,32,0.08919379115104675
1681575594.290387,33,0.09158851206302643
1681575605.3599422,34,0.08054064214229584
1681575620.034164,35,0.09797471761703491
1681575632.4919772,36,0.09068258851766586
1681575643.377307,37,0.08489962667226791
